,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
59,EL,TW_可易家電有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,FMCG,TW_叡聿國際有限公司(Outright),102847.04,90340.24,81131.58,76813.96,126455.51,149223.11,138072.5,108670.9,108670.9,148947.69,139514.4,181130.31,169938.94,158773.97,142878.58,124126.89,114918.46,107621.17,99737.14,92643.54,84642.14,76812.31,93256.7,95174.234,89188.164,125318.11,112468.766,98393.17,86790.4,91811.78,88269.67,82277.88,73393.63,119869.82,106566.734,91057.41,82944.36,121083.45,120849.766,88072.125,68967.41,57476.383,49656.465,44686.527,41568.848,38144.223,71651.04,124234.695,113814.53,92219.164,79607.766,72045.0,64326.32,51330.527,130282.984,115530.0,95957.35,87314.35,81384.28,101079.99,101079.99,84760.836,73233.984,65297.18,97069.47,117641.41,184579.45,229012.66,243189.31,223652.33
61,FMCG,TW_卓品科技有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,FMCG,TW_凱思國際貿易有限公司(outright),1287.425,1264.5243,1258.5502,1049.4556,691.00775,523.73206,447.0641,406.24088,406.24088,388.31848,356.45642,344.50818,307.66772,278.79276,274.81,14.935326,7.965507,82.642136,80.65076,15.931015,11.948261,8.961196,5.97413,3.9827535,19.913769,5515.118,5455.377,5311.002,5271.1743,6539.681,6478.9443,6413.2207,6393.4937,6357.9854,5175.3564,5134.9165,5038.2544,4972.1694,4925.811,4534.232,4220.5737,4180.134,3578.463,3451.224,3391.0571,3333.8489,3285.518,3193.7878,3150.3887,2834.758,2789.3862,2765.7139,2753.8777,2688.7788,2654.2566,2594.0896,2491.5095,9153.289,9066.491,8965.884,8965.884,8862.132,8124.451,7862.2754,7701.7803,7600.1,7584.1504,6402.865,6104.8022,5794.7773
63,EL,TW_凱創實業股份有限公司(Outright),19.915377,19.915377,19.915377,19.915377,19.915377,19.915377,19.915377,19.915377,19.915377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,FMCG,TW_克拉企業有限公司(Outright),113.04843,96.89865,48.44933,48.44933,48.44933,48.44933,48.44933,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,32.299553,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,31.996487,32.337727,32.337727,32.337727,32.337727,32.337727,32.337727,32.337727,32.337727,32.337727
65,EL,TW_元煬科技有限公司(Outright),20744.1,20463.73,20143.309,19902.99,19515.814,19115.287,18848.268,18487.793,18487.793,17846.95,16952.44,16511.86,16097.98,15830.963,15377.031,15003.206,14682.784,14802.942,13641.413,13334.343,12573.341,12333.057,10130.156,9248.996,8741.661,7847.1504,7433.2725,6485.358,6004.7246,5684.303,5297.127,4810.9775,4387.757,3290.029,1187.1525,935.8653,922.63965,896.1885,816.8346,393.61414,393.61414,380.38852,380.38852,353.93723,340.71158,1068.1217,1028.4448,1015.2192,1015.2192,1015.2192,975.54224,962.3166,1028.4448,1001.9935,988.7679,975.54224,975.54224,975.54224,975.54224,975.54224,975.54224,985.94635,985.94635,985.94635,985.94635,985.94635,1132.98,1119.6133,1106.2466,1106.2466
66,FMCG,TW_儷揚國際有限公司(Outright),20389.95,20171.46,19996.695,19670.756,19406.463,18945.463,18730.04,18383.814,18383.814,17970.062,17647.828,17463.504,17115.72,16684.508,16180.066,15630.738,15478.953,15361.451,15053.617,14465.006,14064.613,16555.496,16282.78,15793.876,15512.945,15403.257,14929.308,14701.751,14638.789,14473.277,14130.734,13811.575,13518.107,12546.213,11644.657,11527.744,11180.281,10769.208,10412.552,9746.5205,9305.698,9024.6455,8972.138,8811.972,8683.432,8690.93,8591.771,8316.762,8132.8926,7990.4224,7794.4736,8316.211,8152.099,7946.9536,7902.5796,7780.506,7704.8706,7635.3047,7579.853,7427.003,7427.003,7066.5405,7047.522,7037.399,6728.746,6482.364,6504.02,6243.5884,5948.5527,5742.7837
67,FMCG,TW_優盛國際有限公司(Outright),8520.977,8396.582,8334.386,8272.188,8272.188,7836.81,7525.8257,7401.4316,7401.4316,7090.4473,6966.0537,6966.0537,6468.478,6406.2812,6344.0845,6033.1,5970.903,5908.706,5784.3125,5597.7217,4851.359,4602.5713,4602.5713,4415.9805,4353.783,4353.783,4291.5864,4291.5864,4229.3896,4167.193,4167.193,4128.092,4066.4785,3881.6387,3820.0254,3635.1855,9272.665,9211.052,8906.991,8175.6436,7793.1855,7645.161,7587.5547,7341.101,7341.101,7345.1074,7287.501,6336.9844,4062.2646,3737.4136,3560.5862,3412.562,3506.9854,3387.7651,7708.2944,7617.878,7408.24,7145.002,7087.3955,7029.788,7029.788,6900.9854,5495.5728,4676.424,3982.5835,3650.2188,3591.9973,3084.968,11857.83,11857.83
68,EL,TW_信星科技有限公司(Outright),2120.543,2103.6853,2083.9001,2064.4368,2044.9735,2008.6526,1974.9375,1972.3315,1972.3315,1938.2949,1938.2949,1921.4374,1870.8647,1870.8647,1837.1497,1831.938,1831.938,1837.1497,1837.1497,1837.1497,1837.1497,2340.2698,2306.2332,2272.518,2255.6604,2238.4812,2204.766,2199.5544,2148.6602,1960.6213,1893.1913,1858.7281,1741.8326,1504.8228,1438.0254,1421.3259,1402.0453,1368.6465,1335.2478,1301.8491,1301.8491,1268.4503,1234.7329,1184.6349,1184.6349,1187.2162,1170.5168,1170.5168,1170.5168,1170.5168,1170.5168,1170.5168,1173.0983,1156.3989,1153.8175,1153.8175,1153.8175,1153.8175,1137.1182,1134.5367,1134.5367,1146.6365,1146.6365,1146.6365,1112.8816,1079.1267,1096.3262,1062.5713,1062.5713,1062.5713
69,FMCG,TW_交朋友汽車百貨行(Outright),33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.7022,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.385975,33.742035,33.742035,33.742035,33.742035,33.742035,33.742035,33.742035,33.742035,33.742035
